3cpio	0.14.0-1ubuntu1
acl	2.3.2-2
acpid	1:2.0.34-1ubuntu3
adduser	3.153ubuntu1
apparmor	5.0.0~beta1-0ubuntu7
apport	2.34.0-0ubuntu2
apport-core-dump-handler	2.34.0-0ubuntu2
apport-symptoms	0.25build1
apt	3.2.0
apt-transport-https	3.2.0
at	3.2.5-2.2ubuntu2
base-files	14ubuntu6.1
base-passwd	3.6.8
bash	5.3-2ubuntu1
bash-completion	1:2.16.0-8build1
bc	1.07.1-4build1
bcache-tools	1.0.8-5ubuntu1
bind9-dnsutils	1:9.20.18-1ubuntu2.1
bind9-host	1:9.20.18-1ubuntu2.1
bind9-libs	1:9.20.18-1ubuntu2.1
binutils	2.46-3ubuntu2
binutils-common	2.46-3ubuntu2
binutils-x86-64-linux-gnu	2.46-3ubuntu2
bsdextrautils	2.41.3-3ubuntu2
bsdutils	1:2.41.3-3ubuntu2
btrfs-progs	6.17.1-1build1
build-essential	12.12ubuntu2.26.04.1
busybox-initramfs	1:1.37.0-7ubuntu1
busybox-static	1:1.37.0-7ubuntu1
bzip2	1.0.8-6build2
ca-certificates	20260601~26.04.1
chrony	4.8-2ubuntu1
cloud-guest-utils	0.33-1build1
cloud-init	26.1-0ubuntu2
cloud-init-base	26.1-0ubuntu2
cloud-initramfs-copymods	0.58ubuntu
command-not-found	23.04.0build1
console-setup	1.237ubuntu3
console-setup-linux	1.237ubuntu3
containerd.io	2.2.5-1~ubuntu.26.04~resolute
coreutils	9.5-1ubuntu2+0.0.0~ubuntu25
coreutils-from-uutils	0.0.0~ubuntu25
cpio	2.15+dfsg-2.1
cpp	4:15.2.0-5ubuntu1
cpp-15	15.2.0-16ubuntu1
cpp-15-x86-64-linux-gnu	15.2.0-16ubuntu1
cpp-x86-64-linux-gnu	4:15.2.0-5ubuntu1
cron	3.0pl1-200ubuntu1
cron-daemon-common	3.0pl1-200ubuntu1
cryptsetup	2:2.8.4-1ubuntu4
cryptsetup-bin	2:2.8.4-1ubuntu4
cryptsetup-initramfs	2:2.8.4-1ubuntu4
curl	8.18.0-1ubuntu2.3
dash	0.5.12-12ubuntu3
dbus	1.16.2-2ubuntu4
dbus-bin	1.16.2-2ubuntu4
dbus-daemon	1.16.2-2ubuntu4
dbus-session-bus-common	1.16.2-2ubuntu4
dbus-system-bus-common	1.16.2-2ubuntu4
dbus-user-session	1.16.2-2ubuntu4
debconf	1.5.92
debconf-i18n	1.5.92
debianutils	5.23.2build1
dhcpcd-base	1:10.3.0-7
diffutils	1:3.12-1
dirmngr	2.4.8-4ubuntu3
distro-info	1.15
distro-info-data	0.68ubuntu0.1
dmeventd	2:1.02.205-2ubuntu3
dmidecode	3.6-2build1
dmsetup	2:1.02.205-2ubuntu3
docker-buildx-plugin	0.35.0-1~ubuntu.26.04~resolute
docker-ce	5:29.6.1-1~ubuntu.26.04~resolute
docker-ce-cli	5:29.6.1-1~ubuntu.26.04~resolute
docker-ce-rootless-extras	5:29.6.1-1~ubuntu.26.04~resolute
docker-compose-plugin	5.3.0-1~ubuntu.26.04~resolute
dosfstools	4.2-1.2build1
dpkg	1.23.7ubuntu1
dpkg-dev	1.23.7ubuntu1
dracut	110-11
dracut-core	110-11
dracut-install	110-11
dracut-network	110-11
e2fsprogs	1.47.2-3ubuntu4
eatmydata	131-2build1
ed	1.22.4-1
efibootmgr	18-4ubuntu1
ethtool	1:6.19-1
fakeroot	1.37.2-1
fdisk	2.41.3-3ubuntu2
finalrd	9build2
findutils	4.10.0-3build2
fontconfig-config	2.17.1-3ubuntu1
fonts-dejavu-core	2.37-8build1
fonts-dejavu-mono	2.37-8build1
fonts-ubuntu-console	0.869+git20240321-0ubuntu2
friendly-recovery	0.2.42build1
fuse3	3.18.2-1
fzf	0.67.0-1
g++	4:15.2.0-5ubuntu1
g++-15	15.2.0-16ubuntu1
g++-15-x86-64-linux-gnu	15.2.0-16ubuntu1
g++-x86-64-linux-gnu	4:15.2.0-5ubuntu1
gawk	1:5.3.2-1ubuntu1
gcc	4:15.2.0-5ubuntu1
gcc-15	15.2.0-16ubuntu1
gcc-15-base	15.2.0-16ubuntu1
gcc-15-x86-64-linux-gnu	15.2.0-16ubuntu1
gcc-16-base	16-20260322-1ubuntu1
gcc-x86-64-linux-gnu	4:15.2.0-5ubuntu1
gdisk	1.0.10-2build1
gettext-base	0.23.2-1
gh	2.96.0
gir1.2-girepository-3.0	2.88.0-1
gir1.2-glib-2.0	2.88.0-1
gir1.2-packagekitglib-1.0	1.3.4-3ubuntu1.1
git	1:2.53.0-1ubuntu1
git-delta	0.18.2-8
git-man	1:2.53.0-1ubuntu1
gnu-coreutils	9.7-3ubuntu2
gnupg	2.4.8-4ubuntu3
gnupg-l10n	2.4.8-4ubuntu3
gnupg-utils	2.4.8-4ubuntu3
gnupg2	2.4.8-4ubuntu3
gpg	2.4.8-4ubuntu3
gpg-agent	2.4.8-4ubuntu3
gpg-wks-client	2.4.8-4ubuntu3
gpgconf	2.4.8-4ubuntu3
gpgsm	2.4.8-4ubuntu3
gpgv	2.4.8-4ubuntu3
grep	3.12-1
groff-base	1.23.0-10
grub-efi-amd64	2.14-2ubuntu1
grub-efi-amd64-bin	2.14-2ubuntu1
grub-efi-amd64-signed	1.215+2.14-2ubuntu1
grub-efi-amd64-unsigned	2.14-2ubuntu1
grub-pc	2.14-2ubuntu2
grub-pc-bin	2.14-2ubuntu2
grub2-common	2.14-2ubuntu2
gzip	1.14-1~exp2ubuntu1.1
hc-utils	0.0.8
hdparm	9.65+ds-1.1build1
hostname	3.25build1
htop	3.4.1-5build2
hwctl	0.11.0-0ubuntu1
ibverbs-providers	61.0-2ubuntu3
inetutils-telnet	2:2.7-2ubuntu1.1
info	7.2-5ubuntu2
init	1.69
init-system-helpers	1.69
initramfs-tools-bin	0.151ubuntu1
initramfs-tools-core	0.151ubuntu1
install-info	7.2-5ubuntu2
iproute2	6.19.0-1ubuntu1.1
iptables	1.8.11-2ubuntu3
iputils-ping	3:20250605-1ubuntu1
iputils-tracepath	3:20250605-1ubuntu1
iso-codes	4.20.1-1
jq	1.8.1-4ubuntu2
kbd	2.7.1-2ubuntu2
keyboard-configuration	1.237ubuntu3
klibc-utils	2.0.14-1ubuntu2
kmod	34.2-2ubuntu2
kpartx	0.14.3-2ubuntu1
landscape-common	26.02.2-0ubuntu1
less	668-1build1
libacl1	2.3.2-2
libaio1t64	0.3.113-8build1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl	0.04-9
libalgorithm-merge-perl	0.08-5
libapparmor1	5.0.0~beta1-0ubuntu7
libappstream5	1.1.2-1
libapt-pkg7.0	3.2.0
libasan8	16-20260322-1ubuntu1
libassuan9	3.0.2-2build1
libatomic1	16-20260322-1ubuntu1
libattr1	1:2.5.2-4
libaudit-common	1:4.1.2-1build1
libaudit1	1:4.1.2-1build1
libbinutils	2.46-3ubuntu2
libblkid1	2.41.3-3ubuntu2
libbpf1	1:1.6.3-1ubuntu1
libbrotli1	1.2.0-3build1
libbsd0	0.12.2-2build2
libbz2-1.0	1.0.8-6build2
libc-bin	2.43-2ubuntu2
libc-dev-bin	2.43-2ubuntu2
libc-gconv-modules-extra	2.43-2ubuntu2
libc6	2.43-2ubuntu2
libc6-dev	2.43-2ubuntu2
libcairo2	1.18.4-3
libcap-ng0	0.8.5-4build5
libcap2	1:2.75-10ubuntu2
libcap2-bin	1:2.75-10ubuntu2
libcbor0.10	0.10.2-2ubuntu3
libcc1-0	16-20260322-1ubuntu1
libcom-err2	1.47.2-3ubuntu4
libcrypt-dev	1:4.5.1-1
libcrypt1	1:4.5.1-1
libcryptsetup12	2:2.8.4-1ubuntu4
libctf-nobfd0	2.46-3ubuntu2
libctf0	2.46-3ubuntu2
libcurl3t64-gnutls	8.18.0-1ubuntu2.3
libcurl4t64	8.18.0-1ubuntu2.3
libdb5.3t64	5.3.28+dfsg2-10ubuntu1
libdbus-1-3	1.16.2-2ubuntu4
libdebconfclient0	0.280ubuntu1
libdeflate0	1.23-2ubuntu1
libdevmapper-event1.02.1	2:1.02.205-2ubuntu3
libdevmapper1.02.1	2:1.02.205-2ubuntu3
libdpkg-perl	1.23.7ubuntu1
