stage	task	system	first_replicate	last_replicate
core-n3	nstf_blind_derive_duty	codex	1	3
core-n3	nstf_blind_derive_duty	claude	1	3
core-n3	triso_corrected_bounded_annex	codex	1	3
core-n3	triso_corrected_bounded_annex	claude	1	3
core-extend-n5	nstf_blind_derive_duty	codex	4	5
core-extend-n5	nstf_blind_derive_duty	claude	4	5
core-extend-n5	triso_corrected_bounded_annex	codex	4	5
core-extend-n5	triso_corrected_bounded_annex	claude	4	5
nstf-duty-ablation-n3	nstf_supplied_duty	codex	1	3
nstf-duty-ablation-n3	nstf_supplied_duty	claude	1	3
