t_h, Q_in_kW, Q_removed_kW, T_plate_C
0.000000000000000000e+00,2.616000000000000014e+01,2.615999999999998593e+01,2.493804232636520339e+02
2.500000000000000000e-01,2.616064066262713084e+01,2.615999999999998593e+01,2.493804232636520339e+02
5.000000000000000000e-01,2.616256259561736996e+01,2.616006458274360824e+01,2.493807388935131257e+02
7.500000000000000000e-01,2.616576563430195890e+01,2.616031639880717563e+01,2.493819695684782687e+02
1.000000000000000000e+00,2.617024950424864116e+01,2.616086572275587585e+01,2.493846541974379534e+02
1.250000000000000000e+00,2.617601382128518495e+01,2.616181169561859932e+01,2.493892772260390984e+02
1.500000000000000000e+00,2.618305809153228481e+01,2.616324344367133747e+01,2.493962740676859653e+02
1.750000000000000000e+00,2.619138171144587801e+01,2.616524108528574288e+01,2.494060359833756593e+02
2.000000000000000000e+00,2.620098396786887918e+01,2.616787663660883823e+01,2.494189144655188670e+02
2.250000000000000000e+00,2.621186403809224075e+01,2.617121482590230030e+01,2.494352251755925067e+02
2.500000000000000000e+00,2.622402098992547792e+01,2.617531382549333330e+01,2.494552514806288457e+02
2.750000000000000000e+00,2.623745378177652299e+01,2.618022590947193606e+01,2.494792476291351306e+02
3.000000000000000000e+00,2.625216126274096240e+01,2.618599804451343616e+01,2.495074416030305429e+02
3.250000000000000000e+00,2.626814217270065654e+01,2.619267242050942812e+01,2.495400376785514709e+02
3.500000000000000000e+00,2.628539514243170672e+01,2.620028692705070128e+01,2.495772187257839505e+02
3.750000000000000000e+00,2.630391869372174440e+01,2.620887558122108985e+01,2.496191482735044360e+02
4.000000000000000000e+00,2.632371123949661751e+01,2.621846891162816462e+01,2.496659723633206625e+02
4.250000000000000000e+00,2.634477108395633493e+01,2.622909430295124622e+01,2.497178212146779401e+02
4.500000000000000000e+00,2.636709642272039389e+01,2.624077630599455091e+01,2.497748107201867924e+02
4.750000000000000000e+00,2.639068534298234070e+01,2.625353691431012848e+01,2.498370437882707620e+02
5.000000000000000000e+00,2.641553582367369302e+01,2.626739581410259206e+01,2.499046115496091431e+02
5.250000000000000000e+00,2.644164573563707776e+01,2.628237060765366095e+01,2.499775944405417647e+02
5.500000000000000000e+00,2.646901284180866298e+01,2.629847701398361082e+01,2.500560631764865605e+02
5.750000000000000000e+00,2.649763479740983030e+01,2.631572904891360665e+01,2.501400796265887152e+02
6.000000000000000000e+00,2.652750915014806310e+01,2.633413918664136233e+01,2.502296975997544735e+02
6.250000000000000000e+00,2.655863334042706825e+01,2.635371850456705545e+01,2.503249635511818951e+02
6.500000000000000000e+00,2.659100470156606733e+01,2.637447681410021261e+01,2.504259172176447805e+02
6.750000000000000000e+00,2.662462046002827876e+01,2.639642277624338362e+01,2.505325921884412992e+02
7.000000000000000000e+00,2.665947773565855528e+01,2.641956400707789143e+01,2.506450164195114212e+02
7.250000000000000000e+00,2.669557354193014476e+01,2.644390717223898335e+01,2.507632126957026912e+02
7.500000000000000000e+00,2.673290478620057797e+01,2.646945806935096002e+01,2.508871990466132900e+02
7.750000000000000000e+00,2.677146826997663709e+01,2.649622170665821841e+01,2.510169891219485123e+02
8.000000000000000000e+00,2.681126068918840133e+01,2.652420236771584783e+01,2.511525925282693947e+02
8.250000000000000000e+00,2.685227863447233432e+01,2.655340367610170560e+01,2.512940151340056332e+02
8.500000000000000000e+00,2.689451859146340240e+01,2.658382864610615215e+01,2.514412593427269087e+02
8.750000000000000000e+00,2.693797694109616359e+01,2.661547973432898218e+01,2.515943243415852351e+02
9.000000000000000000e+00,2.698264995991485549e+01,2.664835888291344190e+01,2.517532063244858023e+02
9.250000000000000000e+00,2.702853382039241836e+01,2.668246755980251450e+01,2.519178986941108747e+02
9.500000000000000000e+00,2.707562459125842835e+01,2.671780679313606299e+01,2.520883922442680500e+02
9.750000000000000000e+00,2.712391823783592670e+01,2.675437720379397533e+01,2.522646753254540499e+02
1.000000000000000000e+01,2.717341062238709881e+01,2.679217903379018750e+01,2.524467339945516073e+02
1.025000000000000000e+01,2.722409750446779952e+01,2.683121217165547279e+01,2.526345521507080605e+02
1.050000000000000000e+01,2.727597454129086074e+01,2.687147617590180460e+01,2.528281116588833868e+02
1.075000000000000000e+01,2.732903728809818134e+01,2.691297029654674944e+01,2.530273924620174455e+02
1.100000000000000000e+01,2.738328119854154608e+01,2.695569349085885946e+01,2.532323726827760595e+02
1.125000000000000000e+01,2.743870162507215937e+01,2.699964444225447480e+01,2.534430287177276568e+02
1.150000000000000000e+01,2.749529381933881922e+01,2.704482157513995588e+01,2.536593353224021428e+02
1.175000000000000000e+01,2.755305293259477040e+01,2.709122306661032908e+01,2.538812656892336861e+02
1.200000000000000000e+01,2.761197401611314106e+01,2.713884686272533031e+01,2.541087915199404677e+02
1.225000000000000000e+01,2.767205202161092359e+01,2.718769068304517944e+01,2.543418830900905050e+02
1.250000000000000000e+01,2.773328180168152102e+01,2.723775203402772149e+01,2.545805093116418050e+02
1.275000000000000000e+01,2.779565811023576316e+01,2.728902821860466688e+01,2.548246377890953625e+02
1.300000000000000000e+01,2.785917560295138884e+01,2.734151634638285699e+01,2.550742348711474961e+02
1.325000000000000000e+01,2.792382883773093738e+01,2.739491783744006170e+01,2.553292656975379487e+02
1.350000000000000000e+01,2.798961227516802808e+01,2.744985363194149386e+01,2.555898398257498911e+02
