# Wall heat-flux
# Time         	patch          	min            	max            	integral       
1              	plate	6.2590181e+03	6.3410526e+03	1.2645607e+03
1              	riser	-5.1048025e+03	-3.7530461e+03	-9.2363243e+02
2              	plate	6.2591057e+03	6.3409091e+03	1.2645427e+03
2              	riser	-5.1047413e+03	-3.7531692e+03	-9.2362380e+02
3              	plate	6.2616453e+03	6.3408881e+03	1.2645526e+03
3              	riser	-5.1047332e+03	-3.7541901e+03	-9.2362791e+02
4              	plate	6.2621061e+03	6.3408701e+03	1.2645626e+03
4              	riser	-5.1047257e+03	-3.7522551e+03	-9.2362810e+02
5              	plate	6.2621435e+03	6.3412254e+03	1.2646672e+03
5              	riser	-5.1045162e+03	-3.7504175e+03	-9.2354202e+02
6              	plate	6.2627432e+03	6.3412382e+03	1.2646893e+03
6              	riser	-5.1045064e+03	-3.7509420e+03	-9.2355080e+02
7              	plate	6.2632734e+03	6.3412520e+03	1.2647116e+03
7              	riser	-5.1044968e+03	-3.7514071e+03	-9.2356028e+02
8              	plate	6.2637698e+03	6.3412818e+03	1.2647338e+03
8              	riser	-5.1044886e+03	-3.7518371e+03	-9.2356854e+02
9              	plate	6.2642294e+03	6.3413178e+03	1.2647454e+03
9              	riser	-5.1044860e+03	-3.7521810e+03	-9.2357533e+02
10             	plate	6.2591212e+03	6.3414854e+03	1.2647690e+03
10             	riser	-5.1045396e+03	-3.7535626e+03	-9.2353022e+02
11             	plate	6.2604467e+03	6.3415495e+03	1.2647777e+03
11             	riser	-5.1045468e+03	-3.7540474e+03	-9.2353483e+02
12             	plate	6.2618191e+03	6.3416087e+03	1.2647855e+03
12             	riser	-5.1045465e+03	-3.7545248e+03	-9.2353918e+02
13             	plate	6.2631076e+03	6.3416629e+03	1.2647972e+03
13             	riser	-5.1045468e+03	-3.7549835e+03	-9.2354352e+02
14             	plate	6.2643155e+03	6.3417159e+03	1.2648130e+03
14             	riser	-5.1045488e+03	-3.7554191e+03	-9.2354781e+02
15             	plate	6.2737596e+03	6.3419976e+03	1.2650347e+03
15             	riser	-5.1036736e+03	-3.7590327e+03	-9.2338855e+02
16             	plate	6.2739867e+03	6.3420264e+03	1.2650424e+03
16             	riser	-5.1036767e+03	-3.7594156e+03	-9.2339296e+02
17             	plate	6.2743992e+03	6.3420804e+03	1.2650502e+03
17             	riser	-5.1036781e+03	-3.7595694e+03	-9.2339736e+02
18             	plate	6.2746760e+03	6.3421372e+03	1.2650587e+03
18             	riser	-5.1036771e+03	-3.7596761e+03	-9.2340174e+02
19             	plate	6.2747316e+03	6.3421954e+03	1.2650670e+03
19             	riser	-5.1036745e+03	-3.7597907e+03	-9.2340610e+02
20             	plate	6.2804341e+03	6.3422959e+03	1.2650738e+03
20             	riser	-5.1036970e+03	-3.7621174e+03	-9.2340835e+02
21             	plate	6.2806519e+03	6.3423687e+03	1.2650825e+03
21             	riser	-5.1036931e+03	-3.7622409e+03	-9.2341274e+02
22             	plate	6.2806594e+03	6.3424426e+03	1.2650916e+03
22             	riser	-5.1036903e+03	-3.7623661e+03	-9.2341714e+02
23             	plate	6.2806944e+03	6.3425168e+03	1.2651010e+03
23             	riser	-5.1036915e+03	-3.7624916e+03	-9.2342154e+02
24             	plate	6.2807863e+03	6.3425905e+03	1.2651105e+03
24             	riser	-5.1037035e+03	-3.7626166e+03	-9.2342594e+02
