t_h,T_plate_C,T_heater_C,mdot_kgs,T_gas_out_C
0.000000000000000000e+00,2.191960207762151640e+02,3.016666048714672570e+02,4.532984793101338949e-01,6.430273430825781134e+01
2.000235321802565011e-02,2.191960207762152208e+02,3.016666048714672570e+02,4.532984793101339505e-01,6.430273430825786818e+01
4.000470643605130022e-02,2.191960207762152208e+02,3.016666413163193283e+02,4.532984793101339505e-01,6.430273430825786818e+01
6.000705965407694686e-02,2.191960216239370425e+02,3.016667422129717124e+02,4.532984799606776805e-01,6.430273454806234668e+01
8.000941287210260044e-02,2.191960247960341803e+02,3.016669233821936587e+02,4.532984823949525732e-01,6.430273544538880515e+01
1.000117660901282540e-01,2.191960320979296171e+02,3.016671959885744627e+02,4.532984879984444659e-01,6.430273751095728585e+01
1.200141193081538937e-01,2.191960455467796010e+02,3.016675684183883277e+02,4.532984983191239436e-01,6.430274131538322990e+01
1.400164725261795473e-01,2.191960673012277425e+02,3.016680471605809544e+02,4.532985150135391272e-01,6.430274746930626861e+01
1.600188257442052009e-01,2.191960996135180153e+02,3.016686373153947898e+02,4.532985398100674024e-01,6.430275660984364094e+01
1.800211789622308545e-01,2.191961447947113584e+02,3.016693429233531560e+02,4.532985744822225493e-01,6.430276939075093878e+01
2.000235321802565081e-01,2.191962051884789844e+02,3.016701671938927802e+02,4.532986208285432750e-01,6.430278647500853140e+01
2.200258853982821616e-01,2.191962831509102898e+02,3.016711126722401559e+02,4.532986806570983296e-01,6.430280852910971134e+01
2.400282386163077875e-01,2.191963810347390336e+02,3.016721813655747155e+02,4.532987557733810235e-01,6.430283621859837240e+01
2.600305918343334688e-01,2.191965011769232206e+02,3.016733748409402551e+02,4.532988479707786289e-01,6.430287020455597258e+01
2.800329450523590946e-01,2.191966458888324496e+02,3.016746943027609404e+02,4.532989590230415700e-01,6.430291114082524473e+01
3.000352982703847760e-01,2.191968174484990186e+02,3.016761406551715936e+02,4.532990906783372909e-01,6.430295967181865535e+01
3.200376514884104018e-01,2.191970180945246511e+02,3.016777145527537414e+02,4.532992446545740517e-01,6.430301643079434371e+01
3.400400047064360276e-01,2.191972500213292392e+02,3.016794164422401536e+02,4.532994226357549006e-01,6.430308203851234339e+01
3.600423579244617089e-01,2.191975153754956409e+02,3.016812465970651829e+02,4.532996262691725842e-01,6.430315710220043002e+01
3.800447111424873348e-01,2.191978162530152190e+02,3.016832051461702804e+02,4.532998571632959606e-01,6.430324221477502533e+01
4.000470643605130161e-01,2.191981546972763795e+02,3.016852920981415309e+02,4.533001168862260122e-01,6.430333795427219457e+01
4.200494175785386419e-01,2.191985326976679858e+02,3.016875073615181009e+02,4.533004069646245915e-01,6.430344488345241416e+01
4.400517707965643233e-01,2.191989521886919192e+02,3.016898507619340535e+02,4.533007288830329662e-01,6.430356354954989229e+01
4.600541240145899491e-01,2.191994150494979863e+02,3.016923220566224018e+02,4.533010840835152155e-01,6.430369448414063527e+01
4.800564772326155749e-01,2.191999231037681852e+02,3.016949209467088622e+02,4.533014739655691905e-01,6.430383820310981946e+01
5.000588304506412562e-01,2.192004781198901924e+02,3.016976470876453504e+02,4.533018998862598514e-01,6.430399520670101765e+01
5.200611836686669376e-01,2.192010818113682831e+02,3.017005000980691420e+02,4.533023631605343495e-01,6.430416597963227332e+01
5.400635368866925079e-01,2.192017358374296805e+02,3.017034795673270082e+02,4.533028650616877098e-01,6.430435099126759724e+01
5.600658901047181892e-01,2.192024418037894975e+02,3.017065850618621425e+02,4.533034068219494728e-01,6.430455069583359773e+01
5.800682433227438706e-01,2.192032012635438036e+02,3.017098161306303155e+02,4.533039896331692020e-01,6.430476553267175177e+01
6.000705965407695519e-01,2.192040157181647260e+02,3.017131723096864562e+02,4.533046146475802618e-01,6.430499592652029150e+01
6.200729497587951222e-01,2.192048866185757561e+02,3.017166531260595548e+02,4.533052829786247684e-01,6.430524228781808915e+01
6.400753029768208036e-01,2.192058153662885616e+02,3.017202581010180893e+02,4.533059957018261144e-01,6.430550501302633393e+01
6.600776561948464849e-01,2.192068033145851587e+02,3.017239867528110153e+02,4.533067538556960763e-01,6.430578448496299870e+01
6.800800094128720552e-01,2.192078517697327129e+02,3.017278385989586695e+02,4.533075584426671800e-01,6.430608107314634481e+01
7.000823626308977365e-01,2.192089619922188035e+02,3.017318131581572516e+02,4.533084104300406647e-01,6.430639513414467956e+01
7.200847158489234179e-01,2.192101351979984543e+02,3.017359099518499761e+02,4.533093107509432729e-01,6.430672701192861496e+01
7.400870690669490992e-01,2.192113725597442340e+02,3.017401285055129847e+02,4.533102603052867052e-01,6.430707703822508847e+01
7.600894222849746695e-01,2.192126752080929464e+02,3.017444683496955804e+02,4.533112599607242998e-01,6.430744553287007648e+01
7.800917755030003509e-01,2.192140442328834524e+02,3.017489290208504826e+02,4.533123105536010500e-01,6.430783280415829495e+01
8.000941287210260322e-01,2.192154806843807364e+02,3.017535100619828654e+02,4.533134128898927417e-01,6.430823914918988748e+01
8.200964819390516025e-01,2.192169855744825213e+02,3.017582110231460319e+02,4.533145677461321577e-01,6.430866485421177003e+01
8.400988351570772839e-01,2.192185598779050792e+02,3.017630314618049852e+02,4.533157758703188489e-01,6.430911019495260916e+01
8.601011883751029652e-01,2.192202045333462479e+02,3.017679709430884714e+02,4.533170379828117547e-01,6.430957543695245704e+01
8.801035415931286465e-01,2.192219204446229242e+02,3.017730290399455271e+02,4.533183547772021149e-01,6.431006083588403044e+01
9.001058948111542168e-01,2.192237084817823529e+02,3.017782053332222176e+02,4.533197269211662328e-01,6.431056663786722538e+01
9.201082480291798982e-01,2.192255694821852217e+02,3.017834994116709595e+02,4.533211550572967541e-01,6.431109307977567369e+01
9.401106012472055795e-01,2.192275042515603332e+02,3.017889108719029991e+02,4.533226398039117977e-01,6.431164038953477302e+01
9.601129544652311498e-01,2.192295135650300040e+02,3.017944393182948488e+02,4.533241817558421038e-01,6.431220878641204308e+01
9.801153076832568312e-01,2.192315981681061317e+02,3.018000843628553866e+02,4.533257814851953116e-01,6.431279848129872789e+01
1.000117660901282512e+00,2.192337587776564192e+02,3.018058456250623749e+02,4.533274395420973657e-01,6.431340967698315580e+01
1.020120014119308083e+00,2.192359960828412113e+02,3.018117227316735125e+02,4.533291564554114972e-01,6.431404256841585720e+01
1.040122367337333875e+00,2.192383107460209430e+02,3.018177153165178197e+02,4.533309327334347771e-01,6.431469734296604202e+01
1.060124720555359445e+00,2.192407034036346545e+02,3.018238230202717887e+02,4.533327688645720221e-01,6.431537418067034650e+01
1.080127073773385016e+00,2.192431746670497432e+02,3.018300454902242791e+02,4.533346653179879393e-01,6.431607325447299672e+01
1.100129426991410808e+00,2.192457251233838065e+02,3.018363823800337968e+02,4.533366225442380104e-01,6.431679473045858231e+01
1.120131780209436378e+00,2.192483553362988573e+02,3.018428333494804292e+02,4.533386409758778379e-01,6.431753876807647430e+01
1.140134133427461949e+00,2.192510658467685971e+02,3.018493980642152792e+02,4.533407210280519517e-01,6.431830552035779647e+01
1.160136486645487741e+00,2.192538571738194833e+02,3.018560761955096723e+02,4.533428630990623542e-01,6.431909513412540491e+01
1.180138839863513311e+00,2.192567298152462172e+02,3.018628674200056139e+02,4.533450675709180255e-01,6.431990775019608009e+01
1.200141193081539104e+00,2.192596842483023352e+02,3.018697714194685204e+02,4.533473348098643885e-01,6.432074350357584080e+01
1.220143546299564674e+00,2.192627209303667541e+02,3.018767878805444980e+02,4.533496651668951216e-01,6.432160252364843700e+01
1.240145899517590244e+00,2.192658402995868983e+02,3.018839164945219409e+02,4.533520589782456534e-01,6.432248493435764658e+01
1.260148252735616037e+00,2.192690427754989742e+02,3.018911569570992697e+02,4.533545165658689480e-01,6.432339085438229631e+01
1.280150605953641607e+00,2.192723287596265891e+02,3.018985089681588079e+02,4.533570382378953045e-01,6.432432039730582574e+01
1.300152959171667177e+00,2.192756986360579958e+02,3.019059722315477075e+02,4.533596242890748362e-01,6.432527367177954147e+01
1.320155312389692970e+00,2.192791527720030444e+02,3.019135464548655818e+02,4.533622750012054059e-01,6.432625078168024402e+01
1.340157665607718540e+00,2.192826915183300684e+02,3.019212313492602107e+02,4.533649906435440191e-01,6.432725182626194282e+01
1.360160018825744110e+00,2.192863152100839557e+02,3.019290266292307479e+02,4.533677714732051167e-01,6.432827690030251233e+01
1.380162372043769903e+00,2.192900241669859156e+02,3.019369320124384330e+02,4.533706177355433242e-01,6.432932609424500470e+01
1.400164725261795473e+00,2.192938186939151706e+02,3.019449472195257158e+02,4.533735296645238222e-01,6.433039949433407401e+01
1.420167078479821265e+00,2.192976990813739917e+02,3.019530719739424285e+02,4.533765074830787278e-01,6.433149718274728457e+01
1.440169431697846836e+00,2.193016656059361367e+02,3.019613060017802582e+02,4.533795514034513197e-01,6.433261923772215596e+01
1.460171784915872406e+00,2.193057185306794850e+02,3.019696490316148356e+02,4.533826616275282162e-01,6.433376573367849005e+01
1.480174138133898198e+00,2.193098581056034959e+02,3.019781007943551003e+02,4.533858383471596754e-01,6.433493674133632112e+01
1.500176491351923769e+00,2.193140845680320581e+02,3.019866610231003961e+02,4.533890817444685140e-01,6.433613232783022795e+01
1.520178844569949339e+00,2.193183981430022982e+02,3.019953294530041603e+02,4.533923919921488133e-01,6.433735255681881426e+01
1.540181197787975131e+00,2.193227990436396908e+02,3.020041058211454583e+02,4.533957692537535222e-01,6.433859748859140382e+01
1.560183551006000702e+00,2.193272874715206058e+02,3.020129898664065422e+02,4.533992136839729015e-01,6.433986718017007433e+01
1.580185904224026272e+00,2.193318636170217815e+02,3.020219813293574589e+02,4.534027254289024755e-01,6.434116168540884928e+01
1.600188257442052064e+00,2.193365276596583158e+02,3.020310799521467970e+02,4.534063046263024921e-01,6.434248105508913795e+01
1.620190610660077635e+00,2.193412797684097768e+02,3.020402854783986868e+02,4.534099514058483882e-01,6.434382533701204920e+01
1.640192963878103205e+00,2.193461201020353428e+02,3.020495976531154838e+02,4.534136658893722083e-01,6.434519457608757875e+01
1.660195317096128997e+00,2.193510488093782556e+02,3.020590162225864788e+02,4.534174481910967502e-01,6.434658881442072698e+01
1.680197670314154568e+00,2.193560660296602123e+02,3.020685409343016090e+02,4.534212984178609407e-01,6.434800809139460398e+01
1.700200023532180360e+00,2.193611718927655829e+02,3.020781715368708547e+02,4.534252166693384378e-01,6.434945244375109041e+01
1.720202376750205930e+00,2.193663665195163617e+02,3.020879077799482957e+02,4.534292030382482963e-01,6.435092190566842874e+01
1.740204729968231501e+00,2.193716500219381942e+02,3.020977494141608304e+02,4.534332576105593038e-01,6.435241650883659759e+01
1.760207083186257293e+00,2.193770225035172530e+02,3.021076961910417822e+02,4.534373804656869344e-01,6.435393628252990084e+01
1.780209436404282863e+00,2.193824840594490411e+02,3.021177478629687130e+02,4.534415716766844739e-01,6.435548125367722605e+01
1.800211789622308434e+00,2.193880347768790102e+02,3.021279041831051018e+02,4.534458313104275384e-01,6.435705144693054081e+01
1.820214142840334226e+00,2.193936747351354484e+02,3.021381649053463434e+02,4.534501594277928760e-01,6.435864688473014894e+01
1.840216496058359796e+00,2.193994040059548070e+02,3.021485297842692717e+02,4.534545560838311729e-01,6.436026758736909414e+01
1.860218849276385367e+00,2.194052226536999797e+02,3.021589985750852065e+02,4.534590213279346971e-01,6.436191357305438032e+01
1.880221202494411159e+00,2.194111307355715326e+02,3.021695710335965259e+02,4.534635552039992246e-01,6.436358485796694140e+01
1.900223555712436729e+00,2.194171283018124541e+02,3.021802469161560794e+02,4.534681577505814687e-01,6.436528145631950792e+01
1.920225908930462300e+00,2.194232153959063112e+02,3.021910259796302398e+02,4.534728290010507368e-01,6.436700338041293890e+01
1.940228262148488092e+00,2.194293920547693801e+02,3.022019079813641156e+02,4.534775689837366452e-01,6.436875064068999563e+01
1.960230615366513662e+00,2.194356583089369792e+02,3.022128926791498316e+02,4.534823777220721719e-01,6.437052324578860407e+01
1.980232968584539455e+00,2.194420141827437192e+02,3.022239798311975392e+02,4.534872552347316566e-01,6.437232120259250223e+01
2.000235321802565025e+00,2.194484596944986379e+02,3.022351691961083588e+02,4.534922015357655267e-01,6.437414451628109191e+01
2.020237675020590817e+00,2.194549948566548210e+02,3.022464605328500511e+02,4.534972166347303602e-01,6.437599319037707346e+01
2.040240028238616166e+00,2.194616196759740774e+02,3.022578536007347338e+02,4.535023005368150617e-01,6.437786722679317108e+01
2.060242381456641958e+00,2.194683341536866124e+02,3.022693481593984188e+02,4.535074532429638205e-01,6.437976662587743704e+01
2.080244734674667750e+00,2.194751382856459259e+02,3.022809439687825943e+02,4.535126747499945710e-01,6.438169138645685052e+01
2.100247087892693099e+00,2.194820320624792771e+02,3.022926407891178542e+02,4.535179650507146221e-01,6.438364150588012080e+01
2.120249441110718891e+00,2.194890154697336584e+02,3.023044383809085502e+02,4.535233241340327348e-01,6.438561698005878497e+01
2.140251794328744683e+00,2.194960884880176195e+02,3.023163365049197182e+02,4.535287519850678128e-01,6.438761780350722574e+01
2.160254147546770032e+00,2.195032510931388288e+02,3.023283349221654817e+02,4.535342485852546512e-01,6.438964396938200707e+01
2.180256500764795824e+00,2.195105032562378824e+02,3.023404333938982518e+02,4.535398139124464656e-01,6.439169546951933398e+01
2.200258853982821616e+00,2.195178449439181350e+02,3.023526316815996324e+02,4.535454479410145900e-01,6.439377229447188711e+01
2.220261207200846965e+00,2.195252761183720622e+02,3.023649295469728031e+02,4.535511506419453998e-01,6.439587443354469087e+01
2.240263560418872757e+00,2.195327967375038156e+02,3.023773267519355841e+02,4.535569219829344578e-01,6.439800187482956062e+01
2.260265913636898549e+00,2.195404067550485365e+02,3.023898230586147520e+02,4.535627619284780532e-01,6.440015460523903812e+01
2.280268266854923898e+00,2.195481061206882600e+02,3.024024182293413787e+02,4.535686704399620184e-01,6.440233261053913338e+01
2.300270620072949690e+00,2.195558947801646923e+02,3.024151120266474209e+02,4.535746474757484381e-01,6.440453587538127067e+01
2.320272973290975482e+00,2.195637726753888614e+02,3.024279042132625364e+02,4.535806929912596930e-01,6.440676438333309761e+01
2.340275326509001275e+00,2.195717397445477559e+02,3.024407945521121519e+02,4.535868069390602830e-01,6.440901811690889645e+01
2.360277679727026623e+00,2.195797959222080635e+02,3.024537828063164397e+02,4.535929892689365417e-01,6.441129705759880153e+01
2.380280032945052415e+00,2.195879411394170688e+02,3.024668687391894082e+02,4.535992399279740184e-01,6.441360118589739159e+01
2.400282386163078208e+00,2.195961753238011056e+02,3.024800521142393563e+02,4.536055588606329736e-01,6.441593048133159982e+01
2.420284739381103556e+00,2.196044983996609972e+02,3.024933326951693289e+02,4.536119460088217092e-01,6.441828492248748717e+01
2.440287092599129348e+00,2.196129102880652795e+02,3.025067102458787076e+02,4.536184013119680114e-01,6.442066448703678816e+01
2.460289445817155141e+00,2.196214109069407527e+02,3.025201845304645758e+02,4.536249247070887058e-01,6.442306915176260418e+01
2.480291799035180489e+00,2.196300001711608161e+02,3.025337553132245603e+02,4.536315161288574371e-01,6.442549889258424400e+01
2.500294152253206281e+00,2.196386779926314148e+02,3.025474223586589915e+02,4.536381755096706159e-01,6.442795368458155281e+01
2.520296505471232074e+00,2.196474442803747706e+02,3.025611854314745415e+02,4.536449027797117006e-01,6.443043350201855901e+01
2.540298858689257422e+00,2.196562989406108954e+02,3.025750442965874072e+02,4.536516978670136480e-01,6.443293831836678009e+01
2.560301211907283214e+00,2.196652418768372286e+02,3.025889987191271757e+02,4.536585606975202523e-01,6.443546810632739152e+01
2.580303565125309007e+00,2.196742729899058872e+02,3.026030484644412581e+02,4.536654911951451541e-01,6.443802283785328200e+01
2.600305918343334355e+00,2.196833921780993251e+02,3.026171932980990960e+02,4.536724892818300159e-01,6.444060248417065395e+01
2.620308271561360147e+00,2.196925993372037169e+02,3.026314329858969359e+02,4.536795548776009768e-01,6.444320701579920296e+01
2.640310624779385940e+00,2.197018943605808090e+02,3.026457672938627184e+02,4.536866879006235531e-01,6.444583640257303614e+01
2.660312977997411288e+00,2.197112771392377795e+02,3.026601959882614210e+02,4.536938882672563733e-01,6.444849061366016940e+01
